797
0,0,1.0000000000000635e+00
0,4,1.6666660706202885e-01
0,6,1.6666672627132545e-01
0,25,-6.6666642824811539e-01
0,26,-1.3877787807814457e-16
0,27,-6.6666690508530202e-01
1,1,1.0000000000000635e+00
1,7,1.6666660706202885e-01
1,9,1.6666672627132545e-01
1,28,-6.6666642824811539e-01
1,29,-1.3877787807814457e-16
1,30,-6.6666690508530202e-01
2,2,1.0000000000000635e+00
2,10,1.6666660706202885e-01
2,12,1.6666672627132545e-01
2,31,-6.6666642824811539e-01
2,32,-1.3877787807814457e-16
2,33,-6.6666690508530202e-01
3,3,1.0000000000000635e+00
3,13,1.6666660706202885e-01
3,15,1.6666672627132545e-01
3,34,-6.6666642824811539e-01
3,35,-1.3877787807814457e-16
3,36,-6.6666690508530202e-01
4,0,1.6666660706202885e-01
4,4,1.9999998448461489e+00
4,5,3.3333332135180666e-01
4,6,3.9736425152354492e-08
4,19,1.1981539682754798e-08
4,24,1.6666663481691590e-01
4,25,-6.6666642824811528e-01
4,26,-1.5894570039309830e-07
4,27,-1.3877787807814457e-16
4,61,-5.5511151231257827e-17
4,62,-1.3333332854072273e+00
4,63,-4.7926158222577619e-08
4,64,-1.1102230246251565e-16
4,67,-2.7755575615628914e-17
4,79,-6.6666653926766362e-01
5,4,3.3333332135180666e-01
5,5,3.9999998238993655e+00
5,6,3.3333322666761511e-01
5,18,1.2412378502431662e-10
5,19,3.3333332895088996e-01
5,21,3.3333333896257877e-01
5,23,5.8576107089198445e-08
5,26,-3.0531133177191805e-16
5,44,0.0000000000000000e+00
5,55,-2.0122792321330962e-16
5,56,-2.3430442807476082e-07
5,57,-1.3333333558503151e+00
5,58,-4.9649515054817073e-10
5,59,-1.8041124150158794e-16
5,61,-1.3333333158035598e+00
5,62,-1.3333332854072275e+00
5,63,-2.4980018054066022e-16
5,67,-1.3333329066704600e+00
5,77,-1.9428902930940239e-16
6,0,1.6666672627132545e-01
6,4,3.9736425152354492e-08
6,5,3.3333322666761511e-01
6,6,1.9999998807908170e+00
6,23,1.6666663425490616e-01
6,25,-1.1102230246251565e-16
6,26,-1.5894570058738733e-07
6,27,-6.6666690508530180e-01
6,56,-1.6653345369377348e-16
6,62,5.5511151231257827e-17
6,67,-1.3333329066704613e+00
6,77,-6.6666653701962497e-01
7,1,1.6666660706202885e-01
7,7,1.9999998807907602e+00
7,8,3.3333332078978806e-01
7,9,3.9736425152354492e-08
7,23,1.6666665934201122e-01
7,28,-6.6666642824811528e-01
7,29,-1.5894570039309830e-07
7,30,-1.3877787807814457e-16
7,60,-4.9960036108132044e-16
7,68,-1.3333332831591522e+00
7,69,-2.7755575615628914e-17
7,78,-6.6666663736804477e-01
8,7,3.3333332078978806e-01
8,8,3.9999999316503860e+00
8,9,3.3333321826450812e-01
8,20,3.3333340721900101e-01
8,21,3.3333334149359256e-01
8,22,2.1754704324667011e-08
8,23,1.0285343196445787e-09
8,29,-3.0531133177191805e-16
8,48,-1.3333336288760043e+00
8,49,-1.3333333659743705e+00
8,50,-4.7184478546569153e-16
8,53,-2.4286128663675299e-16
8,54,-8.7018816583017689e-08
8,55,4.1633363423443370e-17
8,60,-4.1141372530972831e-09
8,68,-1.3333332831591522e+00
8,69,-1.3333328730580321e+00
8,76,-2.2204460492503131e-16
8,78,-3.8857805861880479e-16
9,1,1.6666672627132545e-01
9,7,3.9736425152354492e-08
9,8,3.3333321826450812e-01
9,9,1.9999998807908210e+00
9,22,1.6666664265801451e-01
9,28,-1.1102230246251565e-16
9,29,-1.5894570058738733e-07
9,30,-6.6666690508530180e-01
9,54,-1.3877787807814457e-16
9,68,5.5511151231257827e-17
9,69,-1.3333328730580334e+00
9,76,-6.6666657063205847e-01
