0.001,3719,-6.907755279,8.221210094
0.00103542,3393,-6.872948137,8.129469765
0.0010721,3094,-6.838135937,8.037220031
0.0010721,3100,-6.838135937,8.03915739
0.0015,1251,-6.502290171,7.13169851
0.002,559.4,-6.214608098,6.326864781
0.0021455,458.1,-6.144382654,6.127087501
0.0021455,462.6,-6.144382654,6.13686275
0.00230297,377.6,-6.073555685,5.933835434
0.002472,308.5,-6.002727739,5.731721843
0.002472,314,-6.002727739,5.749392986
0.0026414,259.7,-5.936446199,5.559527119
0.0028224,214.5,-5.870167692,5.368309738
0.0028224,216,-5.870167692,5.375278408
0.003,181.2,-5.80914299,5.199601394
0.0036074,105.7,-5.624767988,4.660604893
0.0036074,110,-5.624767988,4.700480366
0.004,81.27,-5.521460918,4.397776945
0.005,42.06,-5.298317367,3.73909717
0.006,24.46,-5.11599581,3.19703913
0.008,10.37,-4.828313737,2.338917022
0.01,5.356,-4.605170186,1.678217428
0.015,1.693,-4.199705078,0.526502103
0.02,0.8205,-3.912023005,-0.197841368
0.03,0.3783,-3.506557897,-0.972067747
0.04,0.2685,-3.218875825,-1.314904365
0.05,0.2262,-2.995732274,-1.486335715
0.06,0.2048,-2.813410717,-1.585721386
0.08,0.1823,-2.525728644,-1.702101597
0.1,0.1693,-2.302585093,-1.77608299
0.15,0.1492,-1.897119985,-1.902467591
0.2,0.1358,-1.609437912,-1.996572064
0.3,0.1176,-1.203972804,-2.140466244
0.4,0.1052,-0.916290732,-2.251891979
0.5,0.09598,-0.693147181,-2.343615443
0.6,0.08874,-0.510825624,-2.422044533
0.8,0.07793,-0.223143551,-2.551944291
1,0.07007,0,-2.658260537
1.25,0.06265,0.223143551,-2.770191598
1.5,0.05701,0.405465108,-2.864528588
2,0.04896,0.693147181,-3.016751641
3,0.03931,1.098612289,-3.23627634
4,0.03369,1.386294361,-3.390554222
5,0.03,1.609437912,-3.506557897
6,0.02741,1.791759469,-3.596847369
8,0.02401,2.079441542,-3.729284869
10,0.02192,2.302585093,-3.820355817
15,0.01915,2.708050201,-3.955452563
20,0.01786,2.995732274,-4.025191704
